Domain,Ad Exchange impressions,Ad Exchange revenue
easydinheiro.com,4887112,140253.94
mejoresopciones.com.mx,3886547,219668.33
unum.com.br,3751618,309290.73
vouquitar.com,2569603,108653.32
gotallcards.com,1739968,349733.50
tarjetasargentinas.com,1181410,37855.86
solicitecartao.com,682193,27662.10
pecaoseu.com,659698,36208.03
batkredit.com,458485,25855.22
helpcartao.com,440095,10458.71
tarjetaahora.com,384607,22700.58
ttdtm.com,296725,15700.45
cardfacil.com,261231,13899.74
plusdin.com.br,203854,2240.02
kredinow.com,143779,20705.39
dekreditkarte.com,129205,54885.04
justgreatcards.com,101232,23192.02
tarjetaahora.com.mx,50422,3676.28
athivor.com,36168,2115.78
availablecards.com,34512,9560.16
(Mobile app),33730,212.72
dekredit.com,19479,5189.12
antvora.com,16519,2307.88
sm.com.br,5347,2.24
tenliva.com,4720,1186.14
wheresmycard.com,3486,52.78
cashcardpro.com,2174,230.70
moneycredithub.com,109,0.21
